Wall time,Step,Value
1568491644.7997055,0,3.1202127933502197
1568491927.4403327,1,1.796226143836975
1568492206.1697948,2,1.4960083961486816
1568492486.8265028,3,2.291593074798584
1568492770.8152683,4,1.4821345806121826
1568493046.6871603,5,1.0932140350341797
1568493328.1373875,6,1.8282055854797363
1568493615.3143535,7,1.187251091003418
1568493898.4615874,8,1.6955338716506958
1568494174.0133746,9,1.1400021314620972
