Wall time,Step,Value
1568491644.7997832,0,26.038999557495117
1568491927.4403977,1,46.84299850463867
1568492206.169855,2,53.57400131225586
1568492486.826645,3,58.1150016784668
1568492770.8153298,4,61.867000579833984
1568493046.6872766,5,65.25
1568493328.1374815,6,68.29499816894531
1568493615.3144302,7,72.80999755859375
1568493898.4616609,8,73.65499877929688
1568494174.0134518,9,73.8740005493164
